Datetime,PJM_Load_MW
1998-04-01,27813.739130434784
1998-04-02,26605.791666666668
1998-04-03,25672.333333333332
1998-04-04,24487.083333333332
1998-04-05,23487.565217391304
1998-04-06,26679.666666666668
1998-04-07,26805.833333333332
1998-04-08,26540.666666666668
1998-04-09,27400.25
1998-04-10,25057.833333333332
1998-04-11,23067.875
1998-04-12,21677.041666666668
1998-04-13,25535.333333333332
1998-04-14,26061.125
1998-04-15,26190.458333333332
1998-04-16,26540.875
1998-04-17,26620.958333333332
1998-04-18,22774.083333333332
1998-04-19,22617.708333333332
1998-04-20,26209.791666666668
1998-04-21,26418.416666666668
1998-04-22,26169.666666666668
1998-04-23,26289.0
1998-04-24,25949.125
1998-04-25,22630.708333333332
1998-04-26,22306.958333333332
1998-04-27,26044.916666666668
1998-04-28,26454.041666666668
1998-04-29,26469.833333333332
1998-04-30,26317.291666666668
1998-05-01,26088.166666666668
1998-05-02,23021.208333333332
1998-05-03,21968.833333333332
1998-05-04,26257.375
1998-05-05,26577.875
1998-05-06,26641.583333333332
1998-05-07,26794.541666666668
1998-05-08,26482.083333333332
1998-05-09,23562.916666666668
1998-05-10,22177.791666666668
1998-05-11,26501.791666666668
1998-05-12,27696.375
1998-05-13,27232.25
1998-05-14,26465.5
1998-05-15,27276.083333333332
1998-05-16,26124.833333333332
1998-05-17,24592.333333333332
1998-05-18,28856.208333333332
1998-05-19,30789.916666666668
1998-05-20,31921.625
1998-05-21,30832.416666666668
1998-05-22,26407.416666666668
1998-05-23,22677.208333333332
1998-05-24,21668.833333333332
1998-05-25,23132.375
1998-05-26,28145.083333333332
1998-05-27,28624.291666666668
1998-05-28,29879.291666666668
1998-05-29,31558.333333333332
1998-05-30,29639.791666666668
1998-05-31,30181.208333333332
1998-06-01,29801.666666666668
1998-06-02,28224.416666666668
1998-06-03,27626.708333333332
1998-06-04,26594.208333333332
1998-06-05,26288.25
1998-06-06,22998.625
1998-06-07,21785.791666666668
1998-06-08,26107.541666666668
1998-06-09,26892.791666666668
1998-06-10,27089.75
1998-06-11,27342.791666666668
1998-06-12,27915.541666666668
1998-06-13,25736.25
1998-06-14,24194.125
1998-06-15,28888.333333333332
1998-06-16,31859.958333333332
1998-06-17,31906.833333333332
1998-06-18,32576.833333333332
1998-06-19,32309.458333333332
1998-06-20,31420.375
1998-06-21,30826.791666666668
1998-06-22,32828.625
1998-06-23,32828.541666666664
1998-06-24,34714.083333333336
1998-06-25,38110.916666666664
1998-06-26,38800.375
1998-06-27,33671.291666666664
1998-06-28,27616.208333333332
1998-06-29,31272.958333333332
1998-06-30,34012.583333333336
1998-07-01,30564.791666666668
1998-07-02,30659.041666666668
1998-07-03,29078.708333333332
1998-07-04,27582.708333333332
1998-07-05,26786.875
1998-07-06,30619.458333333332
1998-07-07,31424.333333333332
1998-07-08,29338.166666666668
1998-07-09,30439.25
1998-07-10,32702.458333333332
1998-07-11,26840.041666666668
1998-07-12,26090.375
1998-07-13,32466.458333333332
1998-07-14,34770.708333333336
1998-07-15,35643.958333333336
1998-07-16,36653.25
1998-07-17,37378.541666666664
1998-07-18,32750.166666666668
1998-07-19,30566.708333333332
1998-07-20,37764.833333333336
1998-07-21,38775.791666666664
1998-07-22,40323.75
1998-07-23,39398.166666666664
1998-07-24,36084.541666666664
1998-07-25,29905.666666666668
1998-07-26,28013.75
1998-07-27,32998.541666666664
1998-07-28,35596.458333333336
1998-07-29,37873.791666666664
1998-07-30,37056.958333333336
1998-07-31,32601.708333333332
1998-08-01,27015.166666666668
1998-08-02,25786.375
1998-08-03,31401.5
1998-08-04,33270.5
1998-08-05,33819.25
1998-08-06,33994.75
1998-08-07,33710.75
1998-08-08,31770.166666666668
1998-08-09,31638.083333333332
1998-08-10,36293.208333333336
1998-08-11,36435.541666666664
1998-08-12,34783.25
1998-08-13,33158.5
1998-08-14,32128.666666666668
1998-08-15,29836.75
1998-08-16,29985.875
1998-08-17,35428.208333333336
1998-08-18,35803.333333333336
1998-08-19,29157.166666666668
1998-08-20,28448.916666666668
1998-08-21,30488.416666666668
1998-08-22,31069.875
1998-08-23,32197.416666666668
1998-08-24,38720.083333333336
1998-08-25,38848.041666666664
1998-08-26,39335.916666666664
1998-08-27,36979.791666666664
1998-08-28,35965.333333333336
1998-08-29,32918.791666666664
1998-08-30,31839.875
1998-08-31,36323.875
1998-09-01,32924.208333333336
1998-09-02,32356.791666666668
1998-09-03,31441.75
1998-09-04,32099.208333333332
1998-09-05,26529.708333333332
1998-09-06,27237.666666666668
1998-09-07,29718.666666666668
1998-09-08,28703.041666666668
1998-09-09,26993.208333333332
1998-09-10,27098.958333333332
1998-09-11,27694.458333333332
1998-09-12,27608.041666666668
1998-09-13,28876.75
1998-09-14,34116.916666666664
1998-09-15,35504.166666666664
1998-09-16,37139.333333333336
1998-09-17,33084.583333333336
1998-09-18,31015.333333333332
1998-09-19,27214.208333333332
1998-09-20,27183.125
1998-09-21,33677.333333333336
1998-09-22,32511.833333333332
1998-09-23,27097.708333333332
1998-09-24,26450.25
1998-09-25,26849.958333333332
1998-09-26,26018.708333333332
1998-09-27,28916.416666666668
1998-09-28,31264.083333333332
1998-09-29,27657.875
1998-09-30,28608.25
1998-10-01,28795.208333333332
1998-10-02,25944.208333333332
1998-10-03,23068.166666666668
1998-10-04,22794.791666666668
1998-10-05,26366.708333333332
1998-10-06,26515.25
1998-10-07,26675.166666666668
1998-10-08,27723.0
1998-10-09,26936.041666666668
1998-10-10,23509.166666666668
1998-10-11,22266.0
1998-10-12,25984.5
1998-10-13,26796.958333333332
1998-10-14,26551.541666666668
1998-10-15,26523.208333333332
1998-10-16,26343.291666666668
1998-10-17,23497.541666666668
1998-10-18,22503.875
1998-10-19,26581.708333333332
1998-10-20,26408.458333333332
1998-10-21,26708.583333333332
1998-10-22,27375.0
1998-10-23,27090.208333333332
1998-10-24,23618.0
1998-10-25,22661.043478260868
1998-10-26,26139.083333333332
1998-10-27,26642.416666666668
1998-10-28,26888.833333333332
1998-10-29,26713.166666666668
1998-10-30,26883.25
1998-10-31,24050.125
1998-11-01,23175.333333333332
1998-11-02,26899.291666666668
1998-11-03,28014.625
1998-11-04,28492.666666666668
1998-11-05,29238.125
1998-11-06,28909.5
1998-11-07,25793.708333333332
1998-11-08,24612.375
1998-11-09,27992.916666666668
1998-11-10,28907.958333333332
1998-11-11,26961.666666666668
1998-11-12,28012.458333333332
1998-11-13,28238.083333333332
1998-11-14,24885.666666666668
1998-11-15,23244.083333333332
1998-11-16,27843.291666666668
1998-11-17,27739.25
1998-11-18,28046.416666666668
1998-11-19,28751.458333333332
1998-11-20,27452.833333333332
1998-11-21,25842.708333333332
1998-11-22,25041.291666666668
1998-11-23,28435.625
1998-11-24,27425.041666666668
1998-11-25,27914.583333333332
1998-11-26,23082.375
1998-11-27,23918.291666666668
1998-11-28,23954.833333333332
1998-11-29,22728.0
1998-11-30,26192.041666666668
1998-12-01,26962.875
1998-12-02,27903.333333333332
1998-12-03,27579.416666666668
1998-12-04,26776.75
1998-12-05,24050.25
1998-12-06,23027.791666666668
1998-12-07,27006.666666666668
1998-12-08,27727.333333333332
1998-12-09,28435.458333333332
1998-12-10,29752.458333333332
1998-12-11,29034.541666666668
1998-12-12,27576.791666666668
1998-12-13,26254.458333333332
1998-12-14,29883.541666666668
1998-12-15,30775.375
1998-12-16,30298.25
1998-12-17,30415.125
1998-12-18,30642.75
1998-12-19,27693.708333333332
1998-12-20,25509.875
1998-12-21,28646.875
1998-12-22,29571.083333333332
1998-12-23,33521.708333333336
1998-12-24,30467.75
1998-12-25,27278.25
1998-12-26,29377.541666666668
1998-12-27,28184.041666666668
1998-12-28,29965.25
1998-12-29,30203.75
1998-12-30,31748.208333333332
1998-12-31,32606.583333333332
1999-01-01,30106.791666666668
1999-01-02,32500.625
1999-01-03,28176.166666666668
1999-01-04,33434.0
1999-01-05,35478.958333333336
1999-01-06,36164.583333333336
1999-01-07,33364.958333333336
1999-01-08,34743.708333333336
1999-01-09,30086.833333333332
1999-01-10,30344.916666666668
1999-01-11,34576.75
1999-01-12,32207.083333333332
1999-01-13,30535.416666666668
1999-01-14,34796.958333333336
1999-01-15,32615.583333333332
1999-01-16,29433.458333333332
1999-01-17,26024.416666666668
1999-01-18,29162.875
1999-01-19,30044.666666666668
1999-01-20,30317.583333333332
