Date,Location,Temp_C
2011-01-01,Aurora,-2.604
2011-02-01,Aurora,-2.821
2011-03-01,Aurora,5.018000000000002
2011-04-01,Aurora,8.052999999999999
2011-05-01,Aurora,11.218
2011-06-01,Aurora,19.704
2011-07-01,Aurora,23.688
2011-08-01,Aurora,23.358
2011-09-01,Aurora,16.540000000000006
2011-10-01,Aurora,9.935
2011-11-01,Aurora,3.475
2011-12-01,Aurora,-3.0610000000000004
2012-01-01,Aurora,0.7640000000000002
2012-02-01,Aurora,-2.33
2012-03-01,Aurora,7.917999999999998
2012-04-01,Aurora,10.807
2012-05-01,Aurora,14.829
2012-06-01,Aurora,22.395
2012-07-01,Aurora,24.301
2012-08-01,Aurora,22.079
2012-09-01,Aurora,17.357
2012-10-01,Aurora,8.751
2012-11-01,Aurora,5.72
2012-12-01,Aurora,-1.55
2013-01-01,Aurora,-2.138
2013-02-01,Aurora,-1.882
2013-03-01,Aurora,2.402
2013-04-01,Aurora,5.0950000000000015
2013-05-01,Aurora,13.409
2013-06-01,Aurora,20.715
2013-07-01,Aurora,22.065
2013-08-01,Aurora,21.813
2013-09-01,Aurora,19.373
2011-01-01,Aurora,-5.688
2011-02-01,Aurora,-2.491
2011-03-01,Aurora,4.147
2011-04-01,Aurora,10.308
2011-05-01,Aurora,16.527
2011-06-01,Aurora,22.375
2011-07-01,Aurora,26.211
2011-08-01,Aurora,22.906
2011-09-01,Aurora,17.357
2011-10-01,Aurora,12.162
2011-11-01,Aurora,7.391
2011-12-01,Aurora,1.624
2012-01-01,Aurora,-1.106
2012-02-01,Aurora,0.6239999999999997
2012-03-01,Aurora,12.263000000000002
2012-04-01,Aurora,11.237
2012-05-01,Aurora,19.65
2012-06-01,Aurora,22.451
2012-07-01,Aurora,26.982
2012-08-01,Aurora,22.343000000000004
2012-09-01,Aurora,17.968999999999994
2012-10-01,Aurora,10.731
2012-11-01,Aurora,4.335
2012-12-01,Aurora,2.3840000000000003
2013-01-01,Aurora,-2.539
2013-02-01,Aurora,-2.374
2013-03-01,Aurora,0.7040000000000002
2013-04-01,Aurora,9.398
2013-05-01,Aurora,17.956
2013-06-01,Aurora,21.622000000000003
2013-07-01,Aurora,22.668000000000003
2013-08-01,Aurora,22.048
2013-09-01,Aurora,19.898
2011-01-01,Chicago,-1.582
2011-02-01,Chicago,0.276
2011-03-01,Chicago,3.474
2011-04-01,Chicago,7.382999999999999
2011-05-01,Chicago,12.133
2011-06-01,Chicago,18.011
2011-07-01,Chicago,24.412
2011-08-01,Chicago,23.414
2011-09-01,Chicago,18.331
2011-10-01,Chicago,13.837
2011-11-01,Chicago,9.555
2011-12-01,Chicago,5.327000000000001
2012-01-01,Chicago,2.6700000000000004
2012-02-01,Chicago,3.698
2012-03-01,Chicago,12.145
2012-04-01,Chicago,8.383000000000001
2012-05-01,Chicago,14.956
2012-06-01,Chicago,19.532
2012-07-01,Chicago,25.909
2012-08-01,Chicago,22.778
2012-09-01,Chicago,18.693
2012-10-01,Chicago,12.229
2012-11-01,Chicago,7.27
2012-12-01,Chicago,5.5920000000000005
2013-01-01,Chicago,1.056
2013-02-01,Chicago,-0.509
2013-03-01,Chicago,1.3230000000000002
2013-04-01,Chicago,6.644
2013-05-01,Chicago,13.734000000000002
2013-06-01,Chicago,17.913
2013-07-01,Chicago,21.914
2013-08-01,Chicago,22.23
2013-09-01,Chicago,19.977
2011-01-01,Joliet,-5.688
2011-02-01,Joliet,-2.491
2011-03-01,Joliet,4.147
