Date,Location,Temp_C
2012-01-01,Cincinnati,1.023
2012-02-01,Cincinnati,2.769
2012-03-01,Cincinnati,13.069
2012-04-01,Cincinnati,11.912999999999998
2012-05-01,Cincinnati,20.606
2012-06-01,Cincinnati,22.631
2012-07-01,Cincinnati,27.383000000000003
2012-08-01,Cincinnati,23.197000000000006
2012-09-01,Cincinnati,18.574
2012-10-01,Cincinnati,11.768
2012-11-01,Cincinnati,5.095
2012-12-01,Cincinnati,4.187
2013-01-01,Cincinnati,-0.254
2013-02-01,Cincinnati,-0.3049999999999999
2013-03-01,Cincinnati,2.2870000000000004
2013-04-01,Cincinnati,11.409
2013-05-01,Cincinnati,18.813
2013-06-01,Cincinnati,22.384
2013-07-01,Cincinnati,23.183000000000003
2013-08-01,Cincinnati,22.671000000000006
2013-09-01,Cincinnati,20.397
2012-01-01,Lexington Fayette,3.742
2012-02-01,Lexington Fayette,5.239
2012-03-01,Lexington Fayette,14.683
2012-04-01,Lexington Fayette,14.297
2012-05-01,Lexington Fayette,21.401000000000003
2012-06-01,Lexington Fayette,23.064
2012-07-01,Lexington Fayette,27.813
2012-08-01,Lexington Fayette,24.195
2012-09-01,Lexington Fayette,20.186
2012-10-01,Lexington Fayette,13.2
2012-11-01,Lexington Fayette,6.57
2012-12-01,Lexington Fayette,6.352
2013-01-01,Lexington Fayette,2.777
2013-02-01,Lexington Fayette,2.844
2013-03-01,Lexington Fayette,4.343999999999999
2013-04-01,Lexington Fayette,13.217
2013-05-01,Lexington Fayette,19.159
2013-06-01,Lexington Fayette,23.364
2013-07-01,Lexington Fayette,23.972
2013-08-01,Lexington Fayette,23.887
2013-09-01,Lexington Fayette,21.716
