Date,Location,Temp_C
2005-05-01,Charlotte,19.563
2005-06-01,Charlotte,24.414
2005-07-01,Charlotte,27.353
2005-08-01,Charlotte,26.974
2005-09-01,Charlotte,24.766
2005-10-01,Charlotte,17.939999999999994
2005-11-01,Charlotte,12.224
2005-12-01,Charlotte,5.391
2006-01-01,Charlotte,9.145
2006-02-01,Charlotte,7.074
2006-03-01,Charlotte,11.847
2006-04-01,Charlotte,18.567
2006-05-01,Charlotte,20.241
2006-06-01,Charlotte,24.84
2006-07-01,Charlotte,27.139
2006-08-01,Charlotte,27.182
2006-09-01,Charlotte,22.024
2006-10-01,Charlotte,15.557
2006-11-01,Charlotte,11.611
2006-12-01,Charlotte,9.194
2007-01-01,Charlotte,7.571999999999999
2007-02-01,Charlotte,6.117000000000001
2007-03-01,Charlotte,14.378
2007-04-01,Charlotte,15.556
2007-05-01,Charlotte,20.75
2007-06-01,Charlotte,25.403
2007-07-01,Charlotte,25.748
2007-08-01,Charlotte,29.438
2007-09-01,Charlotte,24.39
2007-10-01,Charlotte,19.324
2007-11-01,Charlotte,11.267
2007-12-01,Charlotte,9.804
2008-01-01,Charlotte,5.222
2008-02-01,Charlotte,9.071
2008-03-01,Charlotte,11.872
2008-04-01,Charlotte,15.986
2008-05-01,Charlotte,20.686
2008-06-01,Charlotte,26.939
2008-07-01,Charlotte,26.923
2008-08-01,Charlotte,26.254
2008-09-01,Charlotte,22.951
2008-10-01,Charlotte,15.607
2008-11-01,Charlotte,9.393
2008-12-01,Charlotte,8.969
2009-01-01,Charlotte,5.4510000000000005
2009-02-01,Charlotte,7.604999999999999
2009-03-01,Charlotte,11.383
2009-04-01,Charlotte,16.067999999999998
2009-05-01,Charlotte,21.394
2009-06-01,Charlotte,26.061
2009-07-01,Charlotte,25.915
2009-08-01,Charlotte,26.55
2009-09-01,Charlotte,22.85100000000001
2009-10-01,Charlotte,15.871999999999998
2009-11-01,Charlotte,12.429
2009-12-01,Charlotte,5.441
2010-01-01,Charlotte,3.71
2010-02-01,Charlotte,4.09
2010-03-01,Charlotte,10.661
2010-04-01,Charlotte,17.709
2010-05-01,Charlotte,22.799
2010-06-01,Charlotte,27.578000000000007
2010-07-01,Charlotte,28.331
2010-08-01,Charlotte,27.52
2010-09-01,Charlotte,24.647
2010-10-01,Charlotte,17.299
2010-11-01,Charlotte,11.359000000000002
2010-12-01,Charlotte,2.509
2011-01-01,Charlotte,3.735
2011-02-01,Charlotte,9.096
2011-03-01,Charlotte,12.144
2011-04-01,Charlotte,17.852
2011-05-01,Charlotte,21.572
2011-06-01,Charlotte,26.878
2011-07-01,Charlotte,28.339
2011-08-01,Charlotte,27.482
2011-09-01,Charlotte,23.119
2011-10-01,Charlotte,15.528999999999998
2011-11-01,Charlotte,12.13
2011-12-01,Charlotte,9.2
2012-01-01,Charlotte,7.911
2012-02-01,Charlotte,9.164
2012-03-01,Charlotte,17.006
2012-04-01,Charlotte,17.456
2012-05-01,Charlotte,22.617
2012-06-01,Charlotte,24.135
2012-07-01,Charlotte,28.338
2012-08-01,Charlotte,25.446
2012-09-01,Charlotte,22.847
2012-10-01,Charlotte,16.829
2012-11-01,Charlotte,10.146
2012-12-01,Charlotte,9.812
2013-01-01,Charlotte,8.677999999999999
2013-02-01,Charlotte,6.734
2013-03-01,Charlotte,8.437999999999999
2013-04-01,Charlotte,16.262
2013-05-01,Charlotte,19.652
2013-06-01,Charlotte,25.199
2013-07-01,Charlotte,26.00500000000001
2013-08-01,Charlotte,24.927
2013-09-01,Charlotte,23.450000000000006
2005-05-01,Raleigh,17.951
2005-06-01,Raleigh,23.64
2005-07-01,Raleigh,26.932
2005-08-01,Raleigh,26.172
2005-09-01,Raleigh,23.512
2005-10-01,Raleigh,16.2
2005-11-01,Raleigh,10.815
2005-12-01,Raleigh,3.772
2006-01-01,Raleigh,7.671
2006-02-01,Raleigh,5.2810000000000015
2006-03-01,Raleigh,10.327
2006-04-01,Raleigh,16.715999999999998
2006-05-01,Raleigh,18.126
2006-06-01,Raleigh,23.42
2006-07-01,Raleigh,25.966
2006-08-01,Raleigh,26.5
2006-09-01,Raleigh,20.25
2006-10-01,Raleigh,13.856
2006-11-01,Raleigh,10.630999999999998
2006-12-01,Raleigh,7.6560000000000015
2007-01-01,Raleigh,6.308
2007-02-01,Raleigh,3.1450000000000005
2007-03-01,Raleigh,12.16
2007-04-01,Raleigh,14.357
2007-05-01,Raleigh,19.615
2007-06-01,Raleigh,23.992
2007-07-01,Raleigh,24.914
2007-08-01,Raleigh,28.089
2007-09-01,Raleigh,23.005
2007-10-01,Raleigh,18.244
2007-11-01,Raleigh,9.665
2007-12-01,Raleigh,7.795
2008-01-01,Raleigh,3.865
2008-02-01,Raleigh,7.147
2008-03-01,Raleigh,10.544
2008-04-01,Raleigh,14.539
2008-05-01,Raleigh,18.619
2008-06-01,Raleigh,25.807
2008-07-01,Raleigh,25.401
2008-08-01,Raleigh,24.453000000000003
2008-09-01,Raleigh,21.564
2008-10-01,Raleigh,14.059
2008-11-01,Raleigh,8.31
2008-12-01,Raleigh,6.667999999999999
2009-01-01,Raleigh,2.909
2009-02-01,Raleigh,6.08
2009-03-01,Raleigh,9.468
2009-04-01,Raleigh,15.225
2009-05-01,Raleigh,20.097
2009-06-01,Raleigh,24.354
2009-07-01,Raleigh,24.592
2009-08-01,Raleigh,25.839
2009-09-01,Raleigh,20.964
2009-10-01,Raleigh,14.464
2009-11-01,Raleigh,11.097
2009-12-01,Raleigh,3.719
2010-01-01,Raleigh,2.13
2010-02-01,Raleigh,2.2900000000000005
2010-03-01,Raleigh,10.379
2010-04-01,Raleigh,16.701
2010-05-01,Raleigh,21.307
2010-06-01,Raleigh,26.469
2010-07-01,Raleigh,26.873
2010-08-01,Raleigh,26.295
2010-09-01,Raleigh,23.305
2010-10-01,Raleigh,16.049
2010-11-01,Raleigh,9.58
2010-12-01,Raleigh,0.7679999999999998
2011-01-01,Raleigh,2.105
2011-02-01,Raleigh,7.138999999999999
2011-03-01,Raleigh,10.146
2011-04-01,Raleigh,16.502
2011-05-01,Raleigh,20.153
2011-06-01,Raleigh,25.509
2011-07-01,Raleigh,27.393
2011-08-01,Raleigh,26.003
2011-09-01,Raleigh,21.943
2011-10-01,Raleigh,14.337
2011-11-01,Raleigh,11.169
2011-12-01,Raleigh,7.673999999999999
2012-01-01,Raleigh,5.916
2012-02-01,Raleigh,7.129
2012-03-01,Raleigh,14.806
2012-04-01,Raleigh,14.876
2012-05-01,Raleigh,21.443
2012-06-01,Raleigh,22.982
2012-07-01,Raleigh,27.656
2012-08-01,Raleigh,24.858
2012-09-01,Raleigh,21.137
2012-10-01,Raleigh,15.014
2012-11-01,Raleigh,7.672000000000001
2012-12-01,Raleigh,8.144
2013-01-01,Raleigh,5.791
2013-02-01,Raleigh,4.7120000000000015
2013-03-01,Raleigh,6.556
2013-04-01,Raleigh,15.163
2013-05-01,Raleigh,18.612
2013-06-01,Raleigh,24.032
2013-07-01,Raleigh,25.673
2013-08-01,Raleigh,23.852
2013-09-01,Raleigh,21.692
2005-05-01,Richmond,16.632
2005-06-01,Richmond,17.74
2005-07-01,Richmond,21.455
2005-08-01,Richmond,20.434
2005-09-01,Richmond,17.88
2005-10-01,Richmond,16.276999999999994
2005-11-01,Richmond,13.615
2005-12-01,Richmond,10.659
2006-01-01,Richmond,9.952
2006-02-01,Richmond,11.421
2006-03-01,Richmond,9.944
2006-04-01,Richmond,13.094
2006-05-01,Richmond,17.148
2006-06-01,Richmond,20.145
2006-07-01,Richmond,22.465
2006-08-01,Richmond,19.591
2006-09-01,Richmond,18.949
2006-10-01,Richmond,15.861999999999998
2006-11-01,Richmond,12.479
2006-12-01,Richmond,9.202
2007-01-01,Richmond,8.165
2007-02-01,Richmond,10.718
2007-03-01,Richmond,14.002
2007-04-01,Richmond,14.117
2007-05-01,Richmond,16.666
2007-06-01,Richmond,18.829
2007-07-01,Richmond,20.325
2007-08-01,Richmond,20.601
2007-09-01,Richmond,18.781
2007-10-01,Richmond,15.439999999999998
2007-11-01,Richmond,13.278
2007-12-01,Richmond,8.318999999999999
2008-01-01,Richmond,8.026
2008-02-01,Richmond,10.449000000000002
2008-03-01,Richmond,12.265
2008-04-01,Richmond,13.468
2008-05-01,Richmond,16.625999999999998
2008-06-01,Richmond,19.473
2008-07-01,Richmond,20.335
2008-08-01,Richmond,20.797
2008-09-01,Richmond,20.014
2008-10-01,Richmond,17.351
2008-11-01,Richmond,13.813
2008-12-01,Richmond,8.017000000000001
2009-01-01,Richmond,10.129
2009-02-01,Richmond,10.359000000000002
2009-03-01,Richmond,12.058
2009-04-01,Richmond,13.786
2009-05-01,Richmond,17.215
2009-06-01,Richmond,18.46
2009-07-01,Richmond,19.923
2009-08-01,Richmond,20.581
2009-09-01,Richmond,20.95
2009-10-01,Richmond,15.938
2009-11-01,Richmond,12.457
2009-12-01,Richmond,8.381
2010-01-01,Richmond,9.599
2010-02-01,Richmond,11.467
2010-03-01,Richmond,12.308
2010-04-01,Richmond,12.403
2010-05-01,Richmond,14.555
2010-06-01,Richmond,18.643
2010-07-01,Richmond,19.191
2010-08-01,Richmond,18.781
2010-09-01,Richmond,20.02
2010-10-01,Richmond,16.689999999999998
2010-11-01,Richmond,12.107
2010-12-01,Richmond,10.287
2011-01-01,Richmond,9.359
2011-02-01,Richmond,9.817
2011-03-01,Richmond,11.886
2011-04-01,Richmond,13.358
2011-05-01,Richmond,14.526
2011-06-01,Richmond,17.544
2011-07-01,Richmond,19.649
2011-08-01,Richmond,19.389
2011-09-01,Richmond,20.54
2011-10-01,Richmond,17.294999999999998
2011-11-01,Richmond,11.478
2011-12-01,Richmond,9.118
2012-01-01,Richmond,9.993
2012-02-01,Richmond,11.116
2012-03-01,Richmond,11.503
2012-04-01,Richmond,14.15
2012-05-01,Richmond,16.555
2012-06-01,Richmond,18.482
2012-07-01,Richmond,19.632
2012-08-01,Richmond,20.531
2012-09-01,Richmond,19.045
2012-10-01,Richmond,17.294999999999998
2012-11-01,Richmond,13.367
2012-12-01,Richmond,8.95
2013-01-01,Richmond,8.32
2013-02-01,Richmond,10.229
2013-03-01,Richmond,13.505999999999998
2013-04-01,Richmond,15.996
2013-05-01,Richmond,17.434
2013-06-01,Richmond,19.759
2013-07-01,Richmond,20.657
2013-08-01,Richmond,19.731
2013-09-01,Richmond,20.471
2005-05-01,Richmond,16.861
2005-06-01,Richmond,23.931
2005-07-01,Richmond,26.817
2005-08-01,Richmond,26.201
2005-09-01,Richmond,22.963
2005-10-01,Richmond,15.377
2005-11-01,Richmond,10.693
2005-12-01,Richmond,2.588
2006-01-01,Richmond,6.441000000000002
2006-02-01,Richmond,4.079
2006-03-01,Richmond,8.953999999999997
2006-04-01,Richmond,15.287
2006-05-01,Richmond,18.171000000000006
2006-06-01,Richmond,23.277
2006-07-01,Richmond,26.422
2006-08-01,Richmond,26.512
2006-09-01,Richmond,19.82
2006-10-01,Richmond,13.697
2006-11-01,Richmond,10.445
2006-12-01,Richmond,7.098000000000001
2007-01-01,Richmond,5.617000000000001
2007-02-01,Richmond,0.7749999999999999
2007-03-01,Richmond,10.105
2007-04-01,Richmond,13.015999999999998
2007-05-01,Richmond,19.295
2007-06-01,Richmond,23.82
2007-07-01,Richmond,25.315
2007-08-01,Richmond,26.333
2007-09-01,Richmond,22.061
2007-10-01,Richmond,18.358
2007-11-01,Richmond,9.151
2007-12-01,Richmond,5.516
2008-01-01,Richmond,3.574
2008-02-01,Richmond,5.481
2008-03-01,Richmond,9.787
2008-04-01,Richmond,14.565
2008-05-01,Richmond,17.985000000000007
2008-06-01,Richmond,25.276
2008-07-01,Richmond,25.744
2008-08-01,Richmond,24.348000000000003
2008-09-01,Richmond,21.619
2008-10-01,Richmond,13.746
2008-11-01,Richmond,8.056000000000001
2008-12-01,Richmond,5.478
2009-01-01,Richmond,0.802
2009-02-01,Richmond,4.954
2009-03-01,Richmond,7.8969999999999985
2009-04-01,Richmond,14.573
2009-05-01,Richmond,19.517000000000003
2009-06-01,Richmond,23.610000000000007
2009-07-01,Richmond,24.391
2009-08-01,Richmond,26.0
2009-09-01,Richmond,20.419
2009-10-01,Richmond,14.177
2009-11-01,Richmond,10.736
2009-12-01,Richmond,2.9960000000000004
2010-01-01,Richmond,1.413
2010-02-01,Richmond,1.032
2010-03-01,Richmond,10.155
2010-04-01,Richmond,16.055
2010-05-01,Richmond,20.592
2010-06-01,Richmond,26.307
2010-07-01,Richmond,27.475
2010-08-01,Richmond,26.017
2010-09-01,Richmond,22.957
2010-10-01,Richmond,15.53
2010-11-01,Richmond,9.011
2010-12-01,Richmond,0.1180000000000003
2011-01-01,Richmond,0.6829999999999999
2011-02-01,Richmond,5.877999999999999
2011-03-01,Richmond,8.773
2011-04-01,Richmond,15.964
2011-05-01,Richmond,20.024
2011-06-01,Richmond,24.752
2011-07-01,Richmond,27.137
2011-08-01,Richmond,25.358
2011-09-01,Richmond,21.785
2011-10-01,Richmond,14.282
2011-11-01,Richmond,10.92
2011-12-01,Richmond,6.9030000000000005
2012-01-01,Richmond,4.87
2012-02-01,Richmond,6.329
2012-03-01,Richmond,13.901
2012-04-01,Richmond,14.108
2012-05-01,Richmond,20.972
2012-06-01,Richmond,22.81600000000001
2012-07-01,Richmond,27.813
2012-08-01,Richmond,25.278
2012-09-01,Richmond,20.823
2012-10-01,Richmond,14.889
2012-11-01,Richmond,6.9380000000000015
2012-12-01,Richmond,6.888999999999999
2013-01-01,Richmond,4.049
2013-02-01,Richmond,3.5380000000000003
2013-03-01,Richmond,5.744
2013-04-01,Richmond,14.595
2013-05-01,Richmond,18.603
2013-06-01,Richmond,23.954
2013-07-01,Richmond,26.201
2013-08-01,Richmond,23.517
2013-09-01,Richmond,20.894
2005-05-01,Virginia Beach,16.584999999999994
2005-06-01,Virginia Beach,23.28
2005-07-01,Virginia Beach,26.827
2005-08-01,Virginia Beach,26.98
2005-09-01,Virginia Beach,25.009
2005-10-01,Virginia Beach,18.912
2005-11-01,Virginia Beach,14.515999999999998
2005-12-01,Virginia Beach,7.571000000000001
2006-01-01,Virginia Beach,10.165
2006-02-01,Virginia Beach,7.302
2006-03-01,Virginia Beach,9.944
2006-04-01,Virginia Beach,15.603
2006-05-01,Virginia Beach,18.321
2006-06-01,Virginia Beach,23.294
2006-07-01,Virginia Beach,26.481
2006-08-01,Virginia Beach,26.795
2006-09-01,Virginia Beach,22.061
2006-10-01,Virginia Beach,17.503
2006-11-01,Virginia Beach,14.248
2006-12-01,Virginia Beach,11.18
2007-01-01,Virginia Beach,9.575
2007-02-01,Virginia Beach,5.144
2007-03-01,Virginia Beach,11.537
2007-04-01,Virginia Beach,14.16
2007-05-01,Virginia Beach,18.372
2007-06-01,Virginia Beach,23.476
2007-07-01,Virginia Beach,25.434
2007-08-01,Virginia Beach,26.649
2007-09-01,Virginia Beach,23.877
2007-10-01,Virginia Beach,21.519
2007-11-01,Virginia Beach,12.871
2007-12-01,Virginia Beach,10.768
2008-01-01,Virginia Beach,7.366
2008-02-01,Virginia Beach,9.711
2008-03-01,Virginia Beach,12.088
2008-04-01,Virginia Beach,15.220999999999998
2008-05-01,Virginia Beach,18.55
2008-06-01,Virginia Beach,25.549
2008-07-01,Virginia Beach,25.884
2008-08-01,Virginia Beach,25.6
2008-09-01,Virginia Beach,23.998
2008-10-01,Virginia Beach,17.064
2008-11-01,Virginia Beach,11.582
2008-12-01,Virginia Beach,10.53
2009-01-01,Virginia Beach,5.675
2009-02-01,Virginia Beach,7.207999999999999
2009-03-01,Virginia Beach,9.409
2009-04-01,Virginia Beach,15.198
