Date,Location,Temp_C
1743-11-01,Lexington Fayette,6.165
1744-04-01,Lexington Fayette,14.763
1744-05-01,Lexington Fayette,18.31900000000001
1744-06-01,Lexington Fayette,23.204
1744-07-01,Lexington Fayette,24.609
1744-09-01,Lexington Fayette,18.516
1744-10-01,Lexington Fayette,11.822
1744-11-01,Lexington Fayette,6.502999999999999
1744-12-01,Lexington Fayette,1.3119999999999998
1745-01-01,Lexington Fayette,0.851
1745-02-01,Lexington Fayette,2.287
1745-03-01,Lexington Fayette,6.018000000000002
1745-04-01,Lexington Fayette,12.654000000000002
1750-01-01,Lexington Fayette,0.7759999999999999
1750-02-01,Lexington Fayette,2.801
1750-03-01,Lexington Fayette,7.874
1750-04-01,Lexington Fayette,13.19
1750-05-01,Lexington Fayette,18.834000000000003
1750-06-01,Lexington Fayette,22.131
1750-07-01,Lexington Fayette,26.642
1750-08-01,Lexington Fayette,24.95
1750-09-01,Lexington Fayette,19.885
1750-10-01,Lexington Fayette,11.432
1750-12-01,Lexington Fayette,1.606
1751-01-01,Lexington Fayette,0.737
1751-02-01,Lexington Fayette,1.766
1751-03-01,Lexington Fayette,8.339
1751-04-01,Lexington Fayette,12.605
1751-06-01,Lexington Fayette,23.401
1751-07-01,Lexington Fayette,25.4
1751-08-01,Lexington Fayette,24.487
1751-09-01,Lexington Fayette,18.772
1752-01-01,Lexington Fayette,-2.3680000000000003
1752-03-01,Lexington Fayette,8.478
1752-04-01,Lexington Fayette,12.248
1752-10-01,Lexington Fayette,12.32
1752-11-01,Lexington Fayette,8.466000000000001
1752-12-01,Lexington Fayette,2.585
1753-01-01,Lexington Fayette,0.615
1753-02-01,Lexington Fayette,2.331
1753-03-01,Lexington Fayette,8.902000000000003
1753-04-01,Lexington Fayette,12.72
1753-05-01,Lexington Fayette,19.217
1753-06-01,Lexington Fayette,23.938
1753-07-01,Lexington Fayette,25.318
1753-08-01,Lexington Fayette,24.128
1753-09-01,Lexington Fayette,19.216
1753-10-01,Lexington Fayette,13.505
1753-11-01,Lexington Fayette,6.367000000000001
1753-12-01,Lexington Fayette,-0.2229999999999998
1754-01-01,Lexington Fayette,0.8979999999999999
1754-02-01,Lexington Fayette,0.752
1754-03-01,Lexington Fayette,7.224
1754-06-01,Lexington Fayette,23.476
1754-07-01,Lexington Fayette,25.165
1754-08-01,Lexington Fayette,23.972
1754-09-01,Lexington Fayette,19.208
1754-10-01,Lexington Fayette,14.39
1754-12-01,Lexington Fayette,2.7710000000000004
1755-01-01,Lexington Fayette,0.1319999999999999
1755-02-01,Lexington Fayette,1.846
1755-03-01,Lexington Fayette,6.48
1755-04-01,Lexington Fayette,13.684
1755-05-01,Lexington Fayette,19.469
1755-06-01,Lexington Fayette,23.908
1755-09-01,Lexington Fayette,19.458
1755-10-01,Lexington Fayette,12.35
1755-11-01,Lexington Fayette,6.864
1755-12-01,Lexington Fayette,0.7770000000000001
1756-01-01,Lexington Fayette,2.238
1756-02-01,Lexington Fayette,5.754
1756-06-01,Lexington Fayette,23.791
1756-07-01,Lexington Fayette,24.945
1756-08-01,Lexington Fayette,23.661
1756-09-01,Lexington Fayette,20.454
1756-10-01,Lexington Fayette,12.336
1756-11-01,Lexington Fayette,5.598
1756-12-01,Lexington Fayette,0.2360000000000002
1757-01-01,Lexington Fayette,-1.238
1757-02-01,Lexington Fayette,3.914
1757-03-01,Lexington Fayette,7.457999999999999
1757-04-01,Lexington Fayette,12.693
1757-05-01,Lexington Fayette,19.667
1757-06-01,Lexington Fayette,26.069000000000003
1757-07-01,Lexington Fayette,27.719
1757-08-01,Lexington Fayette,24.67
1757-10-01,Lexington Fayette,11.603000000000002
1757-11-01,Lexington Fayette,5.509
1757-12-01,Lexington Fayette,0.4090000000000002
1758-01-01,Lexington Fayette,-2.1990000000000003
1758-02-01,Lexington Fayette,1.3079999999999998
1758-03-01,Lexington Fayette,6.4830000000000005
1758-04-01,Lexington Fayette,12.165
1758-05-01,Lexington Fayette,17.167
1758-06-01,Lexington Fayette,22.201
1758-07-01,Lexington Fayette,23.967
1758-08-01,Lexington Fayette,21.829
1758-09-01,Lexington Fayette,18.044
1758-10-01,Lexington Fayette,9.362000000000002
1758-11-01,Lexington Fayette,7.053
1758-12-01,Lexington Fayette,1.195
1759-01-01,Lexington Fayette,2.125
1759-02-01,Lexington Fayette,4.738
1759-03-01,Lexington Fayette,7.643000000000002
1759-04-01,Lexington Fayette,11.757
1759-05-01,Lexington Fayette,17.867
1759-06-01,Lexington Fayette,22.292
1759-07-01,Lexington Fayette,22.725
1759-08-01,Lexington Fayette,23.578000000000003
1759-09-01,Lexington Fayette,19.993
1759-10-01,Lexington Fayette,13.252
1759-11-01,Lexington Fayette,6.263999999999999
1759-12-01,Lexington Fayette,-1.6270000000000002
1760-01-01,Lexington Fayette,-0.987
1760-02-01,Lexington Fayette,2.9610000000000003
1760-03-01,Lexington Fayette,5.4430000000000005
1760-04-01,Lexington Fayette,12.59
1760-05-01,Lexington Fayette,17.602
1760-06-01,Lexington Fayette,21.154
1760-08-01,Lexington Fayette,24.234
1760-09-01,Lexington Fayette,19.375
1760-10-01,Lexington Fayette,11.89
1760-11-01,Lexington Fayette,6.172000000000001
1760-12-01,Lexington Fayette,0.8480000000000001
