Date,Location,Temp_C
1743-11-01,Fort Wayne,2.9730000000000003
1744-04-01,Fort Wayne,10.855
1744-05-01,Fort Wayne,15.737
1744-06-01,Fort Wayne,21.411
1744-07-01,Fort Wayne,22.824
1744-09-01,Fort Wayne,16.011000000000006
1744-10-01,Fort Wayne,9.227
1744-11-01,Fort Wayne,3.2589999999999995
1744-12-01,Fort Wayne,-2.962
1745-01-01,Fort Wayne,-4.1
1745-02-01,Fort Wayne,-2.9930000000000003
1745-03-01,Fort Wayne,1.265
1745-04-01,Fort Wayne,8.809
1750-01-01,Fort Wayne,-4.396
1750-02-01,Fort Wayne,-2.546
1750-03-01,Fort Wayne,3.069
1750-04-01,Fort Wayne,9.357
1750-05-01,Fort Wayne,16.156
1750-06-01,Fort Wayne,20.206
1750-07-01,Fort Wayne,24.853
1750-08-01,Fort Wayne,22.771
1750-09-01,Fort Wayne,17.516000000000002
1750-10-01,Fort Wayne,8.896
1750-12-01,Fort Wayne,-2.516
1751-01-01,Fort Wayne,-4.345
1751-02-01,Fort Wayne,-3.38
1751-03-01,Fort Wayne,3.536
1751-04-01,Fort Wayne,8.74
1751-06-01,Fort Wayne,21.528
1751-07-01,Fort Wayne,23.577
1751-08-01,Fort Wayne,22.293000000000003
1751-09-01,Fort Wayne,16.340999999999998
1752-01-01,Fort Wayne,-7.555
1752-03-01,Fort Wayne,3.666
1752-04-01,Fort Wayne,8.355
1752-10-01,Fort Wayne,9.717
1752-11-01,Fort Wayne,5.306
1752-12-01,Fort Wayne,-1.696
1753-01-01,Fort Wayne,-4.397
1753-02-01,Fort Wayne,-2.813
1753-03-01,Fort Wayne,4.144
1753-04-01,Fort Wayne,8.854
1753-05-01,Fort Wayne,16.485
1753-06-01,Fort Wayne,22.013
1753-07-01,Fort Wayne,23.488000000000003
1753-08-01,Fort Wayne,21.95
1753-09-01,Fort Wayne,16.702
1753-10-01,Fort Wayne,10.89
1753-11-01,Fort Wayne,3.163
1753-12-01,Fort Wayne,-4.336
1754-01-01,Fort Wayne,-4.046
