Date,Location,Temp_C
1743-11-01,Baltimore,5.339
1744-04-01,Baltimore,12.606
1744-05-01,Baltimore,17.740000000000006
1744-06-01,Baltimore,23.043000000000003
1744-07-01,Baltimore,24.148000000000003
1744-09-01,Baltimore,17.192999999999998
1744-10-01,Baltimore,10.985
1744-11-01,Baltimore,5.371
1744-12-01,Baltimore,-0.04
1745-01-01,Baltimore,0.29
1745-02-01,Baltimore,0.5419999999999999
1745-03-01,Baltimore,4.289
1745-04-01,Baltimore,10.864
1750-01-01,Baltimore,-1.08
1750-02-01,Baltimore,0.6679999999999999
1750-03-01,Baltimore,5.836
1750-04-01,Baltimore,11.472
1750-05-01,Baltimore,17.692999999999998
1750-06-01,Baltimore,21.195
1750-07-01,Baltimore,26.156
1750-08-01,Baltimore,24.176
1750-09-01,Baltimore,19.360000000000007
1750-10-01,Baltimore,10.94
1750-12-01,Baltimore,1.149
1751-01-01,Baltimore,-0.595
1751-02-01,Baltimore,0.8119999999999999
1751-03-01,Baltimore,6.314
1751-04-01,Baltimore,10.699000000000002
1751-06-01,Baltimore,22.767
1751-07-01,Baltimore,24.711
1751-08-01,Baltimore,23.627
1751-09-01,Baltimore,17.887
1752-01-01,Baltimore,-4.3180000000000005
1752-03-01,Baltimore,6.402
1752-04-01,Baltimore,10.181
1752-10-01,Baltimore,11.431
1752-11-01,Baltimore,7.824
1752-12-01,Baltimore,1.1889999999999998
1753-01-01,Baltimore,-0.308
1753-02-01,Baltimore,1.39
1753-03-01,Baltimore,7.145
1753-04-01,Baltimore,10.809
1753-05-01,Baltimore,17.754
1753-06-01,Baltimore,22.999
1753-07-01,Baltimore,24.586
1753-08-01,Baltimore,23.362
1753-09-01,Baltimore,17.840999999999998
1753-10-01,Baltimore,12.549
1753-11-01,Baltimore,5.468999999999999
1753-12-01,Baltimore,-0.6320000000000001
1754-01-01,Baltimore,0.382
1754-02-01,Baltimore,0.131
1754-03-01,Baltimore,5.605
1754-06-01,Baltimore,22.341
1754-07-01,Baltimore,24.525
1754-08-01,Baltimore,23.408
1754-09-01,Baltimore,18.346
1754-10-01,Baltimore,13.512
1754-12-01,Baltimore,1.744
1755-01-01,Baltimore,-0.505
1755-02-01,Baltimore,1.009
1755-03-01,Baltimore,4.258
1755-04-01,Baltimore,11.531
1755-05-01,Baltimore,17.769000000000005
1755-06-01,Baltimore,22.397
1755-09-01,Baltimore,18.323
1755-10-01,Baltimore,10.94
1755-11-01,Baltimore,5.785
1755-12-01,Baltimore,0.0029999999999998
1756-01-01,Baltimore,0.979
1756-02-01,Baltimore,3.638
1756-06-01,Baltimore,22.724
1756-07-01,Baltimore,24.422
1756-08-01,Baltimore,23.138
1756-09-01,Baltimore,19.466
1756-10-01,Baltimore,11.623
1756-11-01,Baltimore,4.908
1756-12-01,Baltimore,-0.5230000000000001
1757-01-01,Baltimore,-2.032
1757-02-01,Baltimore,1.848
1757-03-01,Baltimore,5.353
1757-04-01,Baltimore,10.5
1757-05-01,Baltimore,17.894000000000005
1757-06-01,Baltimore,24.791
1757-07-01,Baltimore,26.585
1757-08-01,Baltimore,23.415
1757-10-01,Baltimore,11.231
1757-11-01,Baltimore,4.924
1757-12-01,Baltimore,0.462
1758-01-01,Baltimore,-2.461
1758-02-01,Baltimore,-0.463
1758-03-01,Baltimore,4.4350000000000005
1758-04-01,Baltimore,10.448
1758-05-01,Baltimore,16.164
1758-06-01,Baltimore,21.162
1758-07-01,Baltimore,23.046000000000006
1758-08-01,Baltimore,21.157
1758-09-01,Baltimore,17.349
1758-10-01,Baltimore,8.895
1758-11-01,Baltimore,6.071000000000001
1758-12-01,Baltimore,-0.022
1759-01-01,Baltimore,0.0289999999999999
1759-02-01,Baltimore,3.346
1759-03-01,Baltimore,5.881
1759-04-01,Baltimore,10.552
1759-05-01,Baltimore,16.918000000000006
1759-06-01,Baltimore,21.201
1759-07-01,Baltimore,21.81600000000001
1759-08-01,Baltimore,21.832
1759-09-01,Baltimore,18.652
1759-10-01,Baltimore,12.727
1759-11-01,Baltimore,6.261
1759-12-01,Baltimore,-2.1140000000000003
1760-01-01,Baltimore,-1.272
1760-02-01,Baltimore,1.68
1760-03-01,Baltimore,4.109
1760-04-01,Baltimore,11.127
1760-05-01,Baltimore,16.400000000000002
1760-06-01,Baltimore,20.574
1760-08-01,Baltimore,23.502
1760-09-01,Baltimore,18.234
1760-10-01,Baltimore,11.157
1760-11-01,Baltimore,5.417999999999999
1760-12-01,Baltimore,0.1569999999999998
1761-01-01,Baltimore,-3.736
1761-02-01,Baltimore,1.072
1761-03-01,Baltimore,6.666
1761-04-01,Baltimore,10.742
1761-05-01,Baltimore,20.198
1761-06-01,Baltimore,27.432
1761-07-01,Baltimore,30.833
1761-08-01,Baltimore,23.467
1761-09-01,Baltimore,18.309
1761-11-01,Baltimore,6.077000000000001
1761-12-01,Baltimore,-3.037
1762-02-01,Baltimore,1.053
1762-03-01,Baltimore,3.888
1762-04-01,Baltimore,11.819
1762-05-01,Baltimore,17.622
1762-06-01,Baltimore,22.738000000000003
1762-07-01,Baltimore,25.539
1762-09-01,Baltimore,18.24
1762-10-01,Baltimore,10.675
1762-11-01,Baltimore,6.279
1762-12-01,Baltimore,1.338
1763-01-01,Baltimore,-3.342
