Date,Location,Temp_C
2002-04-01,Charleston,20.942
2002-05-01,Charleston,22.029
2002-06-01,Charleston,25.974
2002-07-01,Charleston,28.185
2002-08-01,Charleston,27.081
2002-09-01,Charleston,26.509
2002-10-01,Charleston,22.237
2002-11-01,Charleston,14.749
2002-12-01,Charleston,10.396
2003-01-01,Charleston,8.238
2003-02-01,Charleston,11.052
2003-03-01,Charleston,16.358
2003-04-01,Charleston,18.04
2003-05-01,Charleston,23.007
2003-06-01,Charleston,25.905
2003-07-01,Charleston,27.187
2003-08-01,Charleston,27.476
2003-09-01,Charleston,24.364
2003-10-01,Charleston,20.109
2003-11-01,Charleston,18.032
2003-12-01,Charleston,9.786
2004-01-01,Charleston,9.078
2004-02-01,Charleston,9.967
2004-03-01,Charleston,15.575
2004-04-01,Charleston,18.197
2004-05-01,Charleston,24.18
2004-06-01,Charleston,26.778
2004-07-01,Charleston,27.808000000000003
2004-08-01,Charleston,26.279
2004-09-01,Charleston,25.136000000000006
2004-10-01,Charleston,21.21
2004-11-01,Charleston,16.831
2004-12-01,Charleston,11.149
2005-01-01,Charleston,11.454
2005-02-01,Charleston,11.632
2005-03-01,Charleston,13.368
2005-04-01,Charleston,17.136999999999997
2005-05-01,Charleston,20.907
2005-06-01,Charleston,25.786
2005-07-01,Charleston,28.584
2005-08-01,Charleston,28.097
2005-09-01,Charleston,26.678
2005-10-01,Charleston,20.91
2005-11-01,Charleston,16.878
2005-12-01,Charleston,10.75
2006-01-01,Charleston,13.132
2006-02-01,Charleston,10.729
2006-03-01,Charleston,14.220999999999998
2006-04-01,Charleston,19.628
2006-05-01,Charleston,21.97300000000001
2006-06-01,Charleston,25.718000000000004
2006-07-01,Charleston,27.784
2006-08-01,Charleston,28.244
2006-09-01,Charleston,24.605
2006-10-01,Charleston,19.496
2006-11-01,Charleston,15.497
2006-12-01,Charleston,14.383
2007-01-01,Charleston,12.653
2007-02-01,Charleston,10.405
2007-03-01,Charleston,16.288
2007-04-01,Charleston,17.727999999999994
2007-05-01,Charleston,21.854000000000006
2007-06-01,Charleston,25.764000000000006
2007-07-01,Charleston,27.109
2007-08-01,Charleston,28.953000000000003
2007-09-01,Charleston,25.839
2007-10-01,Charleston,22.948
2007-11-01,Charleston,15.414
2007-12-01,Charleston,14.657
2008-01-01,Charleston,10.380999999999998
2008-02-01,Charleston,13.583000000000002
2008-03-01,Charleston,15.07
2008-04-01,Charleston,18.262
2008-05-01,Charleston,22.007
2008-06-01,Charleston,27.158
2008-07-01,Charleston,27.201
2008-08-01,Charleston,27.224
2008-09-01,Charleston,25.175
2008-10-01,Charleston,19.062
2008-11-01,Charleston,13.868
2008-12-01,Charleston,14.235
2009-01-01,Charleston,10.181
2009-02-01,Charleston,10.537
2009-03-01,Charleston,14.303999999999998
2009-04-01,Charleston,18.066
2009-05-01,Charleston,22.961
2009-06-01,Charleston,26.97300000000001
2009-07-01,Charleston,27.037
2009-08-01,Charleston,27.606
2009-09-01,Charleston,24.979000000000006
2009-10-01,Charleston,20.171
2009-11-01,Charleston,16.377
2009-12-01,Charleston,11.763
2010-01-01,Charleston,8.065000000000001
2010-02-01,Charleston,8.23
2010-03-01,Charleston,13.305
2010-04-01,Charleston,18.882
2010-05-01,Charleston,23.834
2010-06-01,Charleston,28.333
2010-07-01,Charleston,28.217
2010-08-01,Charleston,28.423
2010-09-01,Charleston,26.385
2010-10-01,Charleston,20.807
2010-11-01,Charleston,15.5
2010-12-01,Charleston,6.832999999999998
2011-01-01,Charleston,7.989000000000001
2011-02-01,Charleston,12.851
2011-03-01,Charleston,15.412999999999998
2011-04-01,Charleston,19.857
2011-05-01,Charleston,23.148000000000003
2011-06-01,Charleston,27.847
2011-07-01,Charleston,28.463
2011-08-01,Charleston,28.335
2011-09-01,Charleston,25.327
2011-10-01,Charleston,19.088
2011-11-01,Charleston,16.337
2011-12-01,Charleston,13.935
2012-01-01,Charleston,12.433
2012-02-01,Charleston,13.417000000000002
2012-03-01,Charleston,18.771
2012-04-01,Charleston,19.461
2012-05-01,Charleston,23.798
2012-06-01,Charleston,24.514000000000006
2012-07-01,Charleston,28.858
2012-08-01,Charleston,26.855
2012-09-01,Charleston,25.182
2012-10-01,Charleston,20.475
2012-11-01,Charleston,13.249
2012-12-01,Charleston,14.03
2013-01-01,Charleston,13.445
2013-02-01,Charleston,11.334
2013-03-01,Charleston,11.447
2013-04-01,Charleston,18.198
2013-05-01,Charleston,21.532
2013-06-01,Charleston,26.313
2013-07-01,Charleston,27.165
2013-08-01,Charleston,26.864
2013-09-01,Charleston,25.629
2002-04-01,Columbus,19.308
2002-05-01,Columbus,21.345
2002-06-01,Columbus,25.277
2002-07-01,Columbus,27.144
2002-08-01,Columbus,26.935
2002-09-01,Columbus,25.168000000000003
2002-10-01,Columbus,19.881
2002-11-01,Columbus,10.803
2002-12-01,Columbus,6.803
2003-01-01,Columbus,4.656000000000001
2003-02-01,Columbus,9.206
2003-03-01,Columbus,14.353
2003-04-01,Columbus,17.075
2003-05-01,Columbus,21.939
2003-06-01,Columbus,24.473000000000003
2003-07-01,Columbus,26.164
2003-08-01,Columbus,26.551
2003-09-01,Columbus,22.961
2003-10-01,Columbus,17.58
2003-11-01,Columbus,14.798
2003-12-01,Columbus,6.582000000000001
2004-01-01,Columbus,6.593999999999999
2004-02-01,Columbus,7.244
2004-03-01,Columbus,15.043
2004-04-01,Columbus,16.372999999999998
2004-05-01,Columbus,23.099
2004-06-01,Columbus,25.349
2004-07-01,Columbus,26.9
2004-08-01,Columbus,25.405
2004-09-01,Columbus,23.112
2004-10-01,Columbus,19.828
2004-11-01,Columbus,14.308
2004-12-01,Columbus,7.362
2005-01-01,Columbus,8.98
2005-02-01,Columbus,10.39
2005-03-01,Columbus,11.71
2005-04-01,Columbus,15.908
2005-05-01,Columbus,20.026
2005-06-01,Columbus,25.089
2005-07-01,Columbus,27.068
2005-08-01,Columbus,26.906
2005-09-01,Columbus,25.155
2005-10-01,Columbus,18.026
2005-11-01,Columbus,13.398
2005-12-01,Columbus,6.27
2006-01-01,Columbus,10.529000000000002
2006-02-01,Columbus,7.680999999999999
2006-03-01,Columbus,13.082
2006-04-01,Columbus,19.35
2006-05-01,Columbus,21.445
2006-06-01,Columbus,25.722
2006-07-01,Columbus,27.823
2006-08-01,Columbus,27.969
2006-09-01,Columbus,22.896
2006-10-01,Columbus,16.575999999999997
2006-11-01,Columbus,11.853
